2026-06-29 16:10:42,386 - CPU: 22.0%
2026-06-29 16:10:42,386 - Memory: 41.4%
2026-06-29 16:10:42,386 - Disk: 18.7%
2026-06-29 16:18:35,382 - CPU: 25.4%
2026-06-29 16:18:35,384 - Memory: 41.3%
2026-06-29 16:18:35,384 - Disk: 18.7%
2026-06-29 19:14:06,904 - CPU: 18.6%
2026-06-29 19:14:06,907 - Memory: 43.8%
2026-06-29 19:14:06,908 - Disk: 18.5%
2026-06-29 19:15:08,818 - CPU: 16.3%
2026-06-29 19:15:08,818 - Memory: 43.5%
2026-06-29 19:15:08,819 - Disk: 18.5%
2026-06-29 19:15:50,446 - CPU: 12.8%
2026-06-29 19:15:50,446 - Memory: 43.5%
2026-06-29 19:15:50,446 - Disk: 18.5%
2026-06-29 19:21:47,819 - CPU: 36.3%
2026-06-29 19:21:47,819 - Memory: 43.6%
2026-06-29 19:21:47,819 - Disk: 18.5%
2026-06-29 19:22:51,313 - CPU: 12.4%
2026-06-29 19:22:51,320 - Memory: 43.6%
2026-06-29 19:22:51,320 - Disk: 18.5%
